planet_name,host_star,discovery_method,discovery_year,orbital_period_days,planet_mass_earth,planet_radius_earth,equilibrium_temp_k,distance_parsecs,in_habitable_zone
TOI-1346 b,TOI-1346,Transit,2025.0,1.7622538,,2.39,1324.0,115.45,False
TOI-1438 b,TOI-1438,Transit,2025.0,5.13967,9.4,3.04,971.0,110.513,False
TOI-1438 c,TOI-1438,Transit,2025.0,9.428089,10.6,2.75,794.0,110.513,False
TOI-1453 c,TOI-1453,Transit,2025.0,6.5886982,2.95,2.224,819.8,78.7415,False
TOI-1453 b,TOI-1453,Transit,2025.0,4.3135225,2.32,1.173,944.2,78.7415,False
TOI-1648 b,TOI-1648,Transit,2025.0,7.331602,7.4,2.54,799.0,69.835,False
TOI-1743 b,TOI-1743,Transit,2025.0,4.266046,,1.83,485.0,41.2758,False
TOI-880 c,TOI-880,Transit,2025.0,6.3872703,,4.95,805.0,60.6679,False
TOI-912 b,TOI-912,Transit,2025.0,4.6780691,5.1,1.93,551.0,26.1072,False
TOI-1011 b,TOI-1011,Transit,2025.0,2.470498,4.04,1.45,,52.62,False
TOI-1117 b,TOI-1117,Transit,2025.0,2.22816,8.9,2.46,1538.0,167.598,False
TOI-283 b,TOI-283,Transit,2025.0,17.61745,6.54,2.34,661.0,82.7013,False
TOI-333 b,TOI-333,Transit,2025.0,3.7852503,20.1,4.26,1445.0,352.269,False
TOI-512 b,TOI-512,Transit,2025.0,7.18886,3.57,1.54,1009.0,67.3975,False
TOI-521 b,TOI-521,Transit,2025.0,1.54285047,5.3,1.98,794.0,60.9425,False
TOI-756 b,TOI-756,Transit,2025.0,1.2392495,9.83,2.81,934.0,86.1759,False
HD 101581 b,HIP 56998,Transit,2025.0,4.46569,,0.956,834.0,12.7781,False
TOI-6303 b,TOI-6303,Transit,2025.0,9.485236,2493.0,11.59,541.0,152.219,False
TOI-6324 b,TOI-6324,Transit,2025.0,0.279221,1.17,1.059,1216.0,20.5488,False
TOI-6330 b,TOI-6330,Transit,2025.0,6.8500246,3179.0,10.89,495.0,139.042,False
TOI-6420 b,TOI-6420,Transit,2025.0,6.961508,2606.1929374,11.93756445,1213.0,634.712,False
TOI-6448 b,TOI-6448,Transit,2025.0,14.844261,,8.47398941,745.0,386.879,False
TOI-6478 b,TOI-6478,Transit,2025.0,34.005019,,4.6,204.4,38.6057,True
TOI-6109 b,TOI-6109,Transit,2025.0,5.690476,,4.8704,,151.738,False
TOI-6628 b,TOI-6628,Transit,2025.0,18.18424,235.19302118,10.98480109,833.0,320.527,False
TOI-6109 c,TOI-6109,Transit,2025.0,8.538878,,4.8326,,151.738,False
WASP-149 b,WASP-149,Transit,2025.0,1.332813,314.96795134,15.24421375,1855.0,211.73,False
WASP-155 b,WASP-155,Transit,2025.0,3.110413,276.8285425,13.45077684,1468.0,399.63,False
WASP-102 b,WASP-102,Transit,2025.0,2.709813,197.68926915,14.90794433,1671.0,535.689,False
TOI-6223 b,TOI-6223,Transit,2025.0,3.855219,,5.07,714.0,133.122,False
TOI-5817 b,TOI-5817,Transit,2025.0,15.61031,10.3,3.08,950.0,80.7542,False
TOI-5882 b,TOI-5882,Transit,2025.0,7.148972,6995.40323807,11.46678726,1515.0,416.104,False
TOI-6000 b,TOI-6000,Transit,2025.0,0.448959,,0.94,1120.0,75.7664,False
Proxima Cen d,Proxima Cen,Radial Velocity,2025.0,5.12338,0.26,,282.0,1.30119,True
TOI-6038 A b,TOI-6038 A,Transit,2025.0,5.8267311,78.5,6.41,1439.0,179.147,False
TOI-6041 b,TOI-6041,Transit,2025.0,26.04945,28.9,4.55,605.6,72.4731,False
TOI-5786 b,TOI-5786,Transit,2025.0,12.779107,73.0,8.54,1040.0,192.475,False
TOI-5795 b,TOI-5795,Transit,2025.0,6.1406325,23.66,5.62,1136.78,156.53,False
TOI-5800 b,TOI-5800,Transit,2025.0,2.6278838,9.5,2.46,1108.0,42.9052,False
TOI-5573 b,TOI-5573,Transit,2025.0,8.79758977,112.0,9.75,528.0,186.562,False
TOI-5592 b,TOI-5592,Transit,2025.0,2.6085846,285.72773789,17.14974047,1789.0,597.026,False
TOI-5716 b,TOI-5716,Transit,2025.0,6.7663,,0.96,400.0,39.4122,False
TOI-5728 b,TOI-5728,Transit,2025.0,11.49761,,1.31,382.0,54.7045,False
TOI-5736 b,TOI-5736,Transit,2025.0,0.64899,,1.56,1311.0,92.3604,False
WASP-116 b,WASP-116,Transit,2025.0,6.6132,203.41018048,13.67495645,1414.0,559.243,False
TOI-4734 b,TOI-4734,Transit,2025.0,6.235633,61.65871096,10.9175472,1468.0,563.068,False
