timestamp,ground_station_id,ground_station_name,region,signal_strength_dbm,antenna_azimuth_deg,antenna_elevation_deg,data_rate_mbps,cpu_usage_pct,memory_usage_pct,disk_io_mbps,temperature_celsius,status
2026-04-01T00:50:00Z,GS-01,Geneva Prime,Europe,-74.62,14.07,58.81,75.38,56.56,63.3,112.88,24.99,Online
2026-04-01T00:50:00Z,GS-06,Tanegashima,Asia Pacific,-63.68,10.99,54.71,75.53,44.07,62.73,91.07,23.38,Online
2026-04-01T00:55:00Z,GS-01,Geneva Prime,Europe,-59.8,16.66,56.6,181.61,52.51,53.14,37.16,22.9,Online
2026-04-01T00:55:00Z,GS-06,Tanegashima,Asia Pacific,-63.35,15.18,58.08,97.82,34.84,47.88,62.14,23.46,Online
2026-04-01T01:00:00Z,GS-01,Geneva Prime,Europe,-56.79,12.51,58.11,111.56,34.39,61.23,82.33,20.49,Online
2026-04-01T01:00:00Z,GS-06,Tanegashima,Asia Pacific,-54.63,16.12,59.93,131.61,28.47,52.5,100.6,22.98,Online
2026-04-01T01:05:00Z,GS-01,Geneva Prime,Europe,-52.27,23.96,59.54,134.07,95.0,65.21,67.39,23.38,Online
2026-04-01T01:05:00Z,GS-06,Tanegashima,Asia Pacific,-71.59,15.78,57.42,102.46,72.78,45.06,107.45,19.82,Online
2026-04-01T01:10:00Z,GS-01,Geneva Prime,Europe,-67.08,19.68,59.15,67.67,36.42,65.44,50.79,22.6,Online
2026-04-01T01:10:00Z,GS-06,Tanegashima,Asia Pacific,-59.32,16.2,63.31,119.02,45.87,61.49,53.53,23.56,Online
2026-04-01T01:15:00Z,GS-01,Geneva Prime,Europe,-71.89,18.52,60.65,125.97,30.6,57.32,61.0,21.34,Online
2026-04-01T01:15:00Z,GS-06,Tanegashima,Asia Pacific,-33.52,19.56,57.12,127.54,70.47,68.26,19.23,21.59,Online
2026-04-01T01:20:00Z,GS-01,Geneva Prime,Europe,-41.0,18.58,61.15,123.24,33.88,59.52,10.0,20.83,Online
2026-04-01T01:20:00Z,GS-06,Tanegashima,Asia Pacific,-63.79,17.5,63.53,57.1,39.72,61.05,137.65,20.21,Online
2026-04-01T01:25:00Z,GS-01,Geneva Prime,Europe,-42.55,21.27,58.91,113.86,47.39,55.2,82.79,21.83,Online
2026-04-01T01:25:00Z,GS-06,Tanegashima,Asia Pacific,-58.3,22.57,64.05,62.87,70.6,44.38,73.93,23.29,Online
2026-04-01T01:30:00Z,GS-01,Geneva Prime,Europe,-55.79,21.25,61.06,85.21,37.93,66.8,94.28,21.42,Online
2026-04-01T01:30:00Z,GS-06,Tanegashima,Asia Pacific,-46.51,23.11,63.11,118.89,35.05,55.52,109.89,23.37,Online
2026-04-01T01:35:00Z,GS-01,Geneva Prime,Europe,-60.31,23.98,64.64,82.25,51.57,58.38,71.29,24.16,Online
2026-04-01T01:35:00Z,GS-06,Tanegashima,Asia Pacific,-47.62,25.38,64.69,100.63,53.18,57.52,92.97,22.31,Online
2026-04-01T01:40:00Z,GS-01,Geneva Prime,Europe,-58.55,26.19,61.04,162.77,32.93,50.29,126.32,23.75,Online
2026-04-01T01:40:00Z,GS-06,Tanegashima,Asia Pacific,-50.64,26.26,62.65,73.08,45.91,54.58,119.0,22.34,Online
2026-04-01T01:45:00Z,GS-01,Geneva Prime,Europe,-72.38,25.61,64.09,83.09,35.13,61.95,89.8,21.86,Online
2026-04-01T01:45:00Z,GS-06,Tanegashima,Asia Pacific,-67.07,26.71,60.37,57.78,36.38,58.29,92.44,24.83,Online
2026-04-01T01:50:00Z,GS-01,Geneva Prime,Europe,-47.14,27.18,63.81,69.92,44.78,57.69,92.91,21.44,Online
2026-04-01T01:50:00Z,GS-06,Tanegashima,Asia Pacific,-52.21,30.57,63.63,112.05,53.28,56.79,88.96,22.7,Offline
2026-04-01T01:55:00Z,GS-01,Geneva Prime,Europe,-58.53,27.2,64.48,114.94,62.41,67.67,166.13,21.59,Online
2026-04-01T01:55:00Z,GS-06,Tanegashima,Asia Pacific,-46.92,29.12,68.81,75.75,34.92,55.2,10.0,21.95,Online
2026-04-01T02:00:00Z,GS-01,Geneva Prime,Europe,-71.39,30.3,65.68,156.29,56.41,55.38,44.06,23.54,Online
2026-04-01T02:00:00Z,GS-06,Tanegashima,Asia Pacific,-79.8,33.66,67.36,85.92,24.44,70.83,75.42,24.66,Online
2026-04-01T02:05:00Z,GS-01,Geneva Prime,Europe,-83.92,30.05,65.57,101.41,39.6,64.98,37.3,22.66,Online
2026-04-01T02:05:00Z,GS-06,Tanegashima,Asia Pacific,-58.2,32.28,66.99,66.26,58.87,70.22,93.29,21.75,Online
2026-04-01T02:10:00Z,GS-01,Geneva Prime,Europe,-36.73,32.73,68.48,102.03,69.73,74.04,70.04,24.4,Online
2026-04-01T02:10:00Z,GS-06,Tanegashima,Asia Pacific,-50.32,35.24,64.19,120.58,57.7,45.93,32.67,19.88,Online
2026-04-01T02:15:00Z,GS-01,Geneva Prime,Europe,-64.04,35.19,69.67,102.22,64.54,48.96,11.86,22.93,Online
2026-04-01T02:15:00Z,GS-06,Tanegashima,Asia Pacific,-54.24,33.68,62.53,97.33,29.35,65.36,94.66,21.6,Online
2026-04-01T02:20:00Z,GS-01,Geneva Prime,Europe,-67.71,32.88,67.08,128.65,33.17,64.03,58.79,21.9,Online
2026-04-01T02:20:00Z,GS-06,Tanegashima,Asia Pacific,-61.61,32.93,66.1,64.06,68.58,60.28,52.01,23.41,Online
2026-04-01T02:25:00Z,GS-01,Geneva Prime,Europe,-61.68,35.81,68.97,122.73,38.63,55.39,69.0,19.71,Online
2026-04-01T02:25:00Z,GS-06,Tanegashima,Asia Pacific,-82.73,38.98,71.03,92.53,51.92,62.49,200.0,24.84,Online
2026-04-01T02:30:00Z,GS-01,Geneva Prime,Europe,-61.92,35.59,65.05,106.1,35.92,48.62,54.14,21.62,Online
2026-04-01T02:30:00Z,GS-06,Tanegashima,Asia Pacific,-34.69,39.26,68.25,144.4,45.93,53.11,140.92,24.05,Online
2026-04-01T02:35:00Z,GS-01,Geneva Prime,Europe,-75.56,38.37,67.03,58.52,56.11,75.28,24.06,24.17,Online
2026-04-01T02:35:00Z,GS-06,Tanegashima,Asia Pacific,-69.76,37.78,67.59,74.08,45.58,53.35,90.82,23.25,Online
2026-04-01T02:40:00Z,GS-01,Geneva Prime,Europe,-63.58,38.18,68.13,122.66,51.01,52.18,83.97,24.53,Online
2026-04-01T02:40:00Z,GS-06,Tanegashima,Asia Pacific,-85.04,41.09,67.96,117.12,35.84,45.56,14.9,23.48,Online
2026-04-01T02:45:00Z,GS-01,Geneva Prime,Europe,-56.1,39.44,71.06,50.15,44.21,50.31,53.93,23.56,Online
2026-04-01T02:45:00Z,GS-06,Tanegashima,Asia Pacific,-72.91,40.48,71.79,82.69,55.03,50.96,101.19,25.65,Online
2026-04-01T02:50:00Z,GS-01,Geneva Prime,Europe,-97.07,40.91,71.42,93.91,49.45,55.17,83.46,23.34,Online
2026-04-01T02:50:00Z,GS-06,Tanegashima,Asia Pacific,-42.48,43.01,70.94,87.64,39.15,56.54,95.78,22.94,Online
2026-04-01T02:55:00Z,GS-01,Geneva Prime,Europe,-55.65,47.9,72.49,90.22,59.41,56.74,10.0,22.15,Online
2026-04-01T02:55:00Z,GS-06,Tanegashima,Asia Pacific,-88.06,43.05,70.78,150.29,48.92,58.25,113.18,20.35,Online
2026-04-01T03:00:00Z,GS-01,Geneva Prime,Europe,-56.47,46.54,68.26,134.31,49.06,56.68,105.31,27.16,Online
2026-04-01T03:00:00Z,GS-06,Tanegashima,Asia Pacific,-57.27,45.5,70.29,74.5,54.96,53.15,82.86,23.04,Online
2026-04-01T03:05:00Z,GS-01,Geneva Prime,Europe,-52.82,46.92,73.75,84.7,41.76,52.17,62.23,24.42,Online
2026-04-01T03:05:00Z,GS-06,Tanegashima,Asia Pacific,-48.65,44.41,73.41,140.67,49.96,75.01,49.05,21.98,Online
2026-04-01T03:10:00Z,GS-01,Geneva Prime,Europe,-86.68,50.49,73.43,98.33,71.09,51.0,177.83,24.14,Online
2026-04-01T03:10:00Z,GS-06,Tanegashima,Asia Pacific,-58.36,48.95,73.08,106.72,35.51,63.77,155.28,25.96,Online
2026-04-01T03:15:00Z,GS-01,Geneva Prime,Europe,-36.1,47.73,70.58,96.23,45.67,68.75,12.3,26.34,Online
2026-04-01T03:15:00Z,GS-06,Tanegashima,Asia Pacific,-62.37,47.9,70.53,50.35,54.88,60.59,28.4,22.1,Online
2026-04-01T03:20:00Z,GS-01,Geneva Prime,Europe,-65.04,53.34,72.46,54.91,42.05,57.82,10.0,24.06,Online
2026-04-01T03:20:00Z,GS-06,Tanegashima,Asia Pacific,-63.46,51.39,76.68,133.8,76.99,51.15,182.93,24.23,Online
2026-04-01T03:25:00Z,GS-01,Geneva Prime,Europe,-59.79,51.2,73.79,95.67,38.12,55.63,78.69,23.43,Online
2026-04-01T03:25:00Z,GS-06,Tanegashima,Asia Pacific,-70.69,51.46,72.89,145.12,20.0,68.73,129.84,21.13,Online
2026-04-01T03:30:00Z,GS-01,Geneva Prime,Europe,-65.14,51.76,70.99,76.67,31.67,74.02,117.43,26.25,Online
2026-04-01T03:30:00Z,GS-06,Tanegashima,Asia Pacific,-49.17,50.24,72.75,114.68,30.33,65.7,70.39,23.79,Online
2026-04-01T03:35:00Z,GS-01,Geneva Prime,Europe,-49.34,54.64,73.47,134.78,32.03,64.93,103.72,23.99,Online
2026-04-01T03:35:00Z,GS-06,Tanegashima,Asia Pacific,-55.11,51.25,76.04,94.45,38.73,68.39,51.83,22.34,Online
2026-04-01T03:40:00Z,GS-01,Geneva Prime,Europe,-83.35,56.21,72.01,152.64,20.02,73.57,88.44,24.41,Online
2026-04-01T03:40:00Z,GS-06,Tanegashima,Asia Pacific,-68.17,55.8,74.5,133.1,46.37,61.2,65.46,24.47,Online
2026-04-01T03:45:00Z,GS-01,Geneva Prime,Europe,-55.38,52.83,72.25,122.3,47.05,58.53,80.74,25.19,Online
2026-04-01T03:45:00Z,GS-06,Tanegashima,Asia Pacific,-68.1,54.69,75.34,70.65,49.9,46.38,121.17,25.38,Online
2026-04-01T03:50:00Z,GS-01,Geneva Prime,Europe,-56.16,59.47,78.63,130.43,22.91,49.76,55.01,24.82,Maintenance
2026-04-01T03:50:00Z,GS-06,Tanegashima,Asia Pacific,-52.24,56.05,75.68,77.34,37.66,48.75,43.07,22.75,Online
2026-04-01T03:55:00Z,GS-01,Geneva Prime,Europe,-74.64,60.86,73.75,178.97,50.92,61.48,45.67,25.94,Online
2026-04-01T03:55:00Z,GS-06,Tanegashima,Asia Pacific,-68.63,58.99,80.77,97.12,58.79,54.37,78.6,27.54,Online
2026-04-01T04:00:00Z,GS-01,Geneva Prime,Europe,-69.4,63.62,77.4,83.13,52.59,67.78,104.87,22.64,Online
2026-04-01T04:00:00Z,GS-06,Tanegashima,Asia Pacific,-70.91,59.5,75.83,118.62,47.13,49.32,95.21,25.92,Online
2026-04-01T04:05:00Z,GS-01,Geneva Prime,Europe,-51.6,63.41,77.97,113.78,44.16,46.71,97.18,25.43,Online
2026-04-01T04:05:00Z,GS-06,Tanegashima,Asia Pacific,-55.93,58.7,74.14,131.59,44.53,65.45,81.13,25.16,Online
2026-04-01T04:10:00Z,GS-01,Geneva Prime,Europe,-45.93,61.47,76.8,86.13,39.79,57.53,88.89,24.51,Online
2026-04-01T04:10:00Z,GS-06,Tanegashima,Asia Pacific,-41.16,60.71,76.24,86.81,62.36,61.57,121.27,23.0,Online
2026-04-01T04:15:00Z,GS-01,Geneva Prime,Europe,-55.99,65.53,77.07,131.96,38.79,71.27,171.96,24.8,Online
2026-04-01T04:15:00Z,GS-06,Tanegashima,Asia Pacific,-66.68,66.66,80.07,84.31,39.96,57.75,26.22,23.97,Online
2026-04-01T04:20:00Z,GS-01,Geneva Prime,Europe,-75.06,63.46,77.12,107.03,63.61,52.01,119.37,25.14,Online
2026-04-01T04:20:00Z,GS-06,Tanegashima,Asia Pacific,-60.74,66.35,74.94,111.47,47.0,63.94,91.57,29.15,Offline
2026-04-01T04:25:00Z,GS-01,Geneva Prime,Europe,-69.57,65.19,76.21,83.34,37.35,69.51,136.82,24.73,Online
2026-04-01T04:25:00Z,GS-06,Tanegashima,Asia Pacific,-72.49,67.19,76.35,118.99,47.44,47.87,141.9,28.28,Online
2026-04-01T04:30:00Z,GS-01,Geneva Prime,Europe,-69.19,66.72,78.29,110.03,52.9,76.08,72.92,24.51,Maintenance
2026-04-01T04:30:00Z,GS-06,Tanegashima,Asia Pacific,-80.69,66.04,77.65,153.84,38.79,61.79,79.34,27.49,Online
2026-04-01T04:35:00Z,GS-01,Geneva Prime,Europe,-30.0,67.69,76.98,131.32,53.18,74.77,103.36,25.29,Online
2026-04-01T04:35:00Z,GS-06,Tanegashima,Asia Pacific,-51.14,70.97,79.6,115.22,57.8,69.35,135.29,26.8,Online
2026-04-01T04:40:00Z,GS-01,Geneva Prime,Europe,-62.51,70.29,80.6,75.49,49.42,56.85,81.15,27.87,Online
2026-04-01T04:40:00Z,GS-06,Tanegashima,Asia Pacific,-57.13,70.09,75.47,122.39,52.75,77.31,67.69,26.28,Online
2026-04-01T04:45:00Z,GS-01,Geneva Prime,Europe,-56.26,74.4,78.22,108.37,52.29,61.49,62.14,26.36,Online
2026-04-01T04:45:00Z,GS-06,Tanegashima,Asia Pacific,-43.9,69.2,78.67,79.0,59.34,47.81,57.64,26.64,Online
2026-04-01T04:50:00Z,GS-01,Geneva Prime,Europe,-36.52,72.37,77.5,156.43,27.62,42.41,97.6,25.44,Online
2026-04-01T04:50:00Z,GS-06,Tanegashima,Asia Pacific,-75.32,73.92,79.1,83.08,29.64,66.98,106.01,26.05,Online
2026-04-01T04:55:00Z,GS-01,Geneva Prime,Europe,-32.3,71.61,75.75,79.24,44.45,61.95,70.35,26.85,Online
2026-04-01T04:55:00Z,GS-06,Tanegashima,Asia Pacific,-78.77,76.64,78.64,133.52,49.11,63.65,102.79,26.99,Online
2026-04-01T05:00:00Z,GS-01,Geneva Prime,Europe,-50.36,77.66,79.37,121.27,79.41,71.52,52.94,29.15,Online
2026-04-01T05:00:00Z,GS-06,Tanegashima,Asia Pacific,-60.6,72.14,79.23,79.57,55.09,54.78,62.15,23.61,Online
2026-04-01T05:05:00Z,GS-01,Geneva Prime,Europe,-66.78,71.4,75.97,122.81,54.43,63.4,41.32,26.5,Online
2026-04-01T05:05:00Z,GS-06,Tanegashima,Asia Pacific,-60.05,73.93,82.15,126.32,42.35,60.22,88.34,23.51,Online
2026-04-01T05:10:00Z,GS-01,Geneva Prime,Europe,-63.71,76.14,77.29,91.57,66.57,65.13,57.15,27.56,Online
2026-04-01T05:10:00Z,GS-06,Tanegashima,Asia Pacific,-39.01,79.35,79.41,80.59,53.38,63.15,115.81,27.65,Online
2026-04-01T05:15:00Z,GS-01,Geneva Prime,Europe,-44.26,77.68,82.06,105.93,69.9,54.49,149.44,27.13,Online
2026-04-01T05:15:00Z,GS-06,Tanegashima,Asia Pacific,-69.77,77.78,78.78,112.72,51.27,55.41,79.03,30.04,Online
2026-04-01T05:20:00Z,GS-01,Geneva Prime,Europe,-34.09,80.87,79.62,103.6,52.36,51.82,69.7,24.46,Online
2026-04-01T05:20:00Z,GS-06,Tanegashima,Asia Pacific,-54.01,81.29,78.58,147.22,30.29,48.29,88.98,28.53,Online
2026-04-01T05:25:00Z,GS-01,Geneva Prime,Europe,-34.74,80.33,81.81,98.84,42.93,67.07,106.09,24.72,Online
2026-04-01T05:25:00Z,GS-06,Tanegashima,Asia Pacific,-37.85,84.01,78.4,111.87,50.93,62.09,57.99,26.08,Online
2026-04-01T05:30:00Z,GS-01,Geneva Prime,Europe,-60.38,84.85,80.83,88.88,54.26,40.0,125.95,24.61,Online
2026-04-01T05:30:00Z,GS-06,Tanegashima,Asia Pacific,-65.44,80.26,77.15,134.82,78.55,62.77,78.12,27.93,Online
2026-04-01T05:35:00Z,GS-01,Geneva Prime,Europe,-58.85,81.18,81.81,85.19,26.32,56.58,140.03,28.62,Online
2026-04-01T05:35:00Z,GS-06,Tanegashima,Asia Pacific,-65.23,83.05,79.18,162.3,49.58,63.44,121.21,27.7,Online
2026-04-01T05:40:00Z,GS-01,Geneva Prime,Europe,-63.89,84.61,79.74,98.88,53.73,60.42,109.31,27.36,Online
2026-04-01T05:40:00Z,GS-06,Tanegashima,Asia Pacific,-58.82,81.0,81.72,110.39,56.98,40.0,163.53,27.27,Online
2026-04-01T05:45:00Z,GS-01,Geneva Prime,Europe,-43.38,84.17,81.16,68.4,37.51,75.31,72.37,27.93,Online
2026-04-01T05:45:00Z,GS-06,Tanegashima,Asia Pacific,-46.95,87.24,80.24,110.95,73.84,59.54,88.04,29.18,Online
2026-04-01T05:50:00Z,GS-01,Geneva Prime,Europe,-43.42,89.87,81.25,65.71,64.6,50.83,92.11,26.61,Online
2026-04-01T05:50:00Z,GS-06,Tanegashima,Asia Pacific,-60.96,88.16,80.61,112.66,64.36,63.63,70.23,29.18,Online
2026-04-01T05:55:00Z,GS-01,Geneva Prime,Europe,-42.16,86.29,81.19,121.04,41.43,71.01,74.0,28.06,Online
2026-04-01T05:55:00Z,GS-06,Tanegashima,Asia Pacific,-62.6,88.78,77.8,56.8,64.13,53.22,40.34,24.64,Online
2026-04-01T06:00:00Z,GS-01,Geneva Prime,Europe,-69.58,87.35,83.28,130.29,36.74,78.02,119.27,27.51,Online
2026-04-01T06:00:00Z,GS-06,Tanegashima,Asia Pacific,-97.49,94.58,77.22,50.64,91.18,79.52,135.37,28.85,Online
2026-04-01T06:05:00Z,GS-01,Geneva Prime,Europe,-51.08,92.96,81.51,108.44,46.25,59.5,49.84,27.71,Online
2026-04-01T06:05:00Z,GS-06,Tanegashima,Asia Pacific,-85.39,91.05,78.02,66.89,47.16,71.14,116.73,25.78,Online
2026-04-01T06:10:00Z,GS-01,Geneva Prime,Europe,-74.84,94.38,78.01,93.26,51.6,52.25,84.22,26.26,Online
2026-04-01T06:10:00Z,GS-06,Tanegashima,Asia Pacific,-69.02,93.14,76.79,113.21,44.76,64.42,88.96,30.31,Online
2026-04-01T06:15:00Z,GS-01,Geneva Prime,Europe,-58.12,92.89,80.18,116.3,45.59,60.32,51.92,27.4,Online
2026-04-01T06:15:00Z,GS-06,Tanegashima,Asia Pacific,-81.04,97.25,77.45,79.21,36.38,67.16,68.2,30.26,Online
2026-04-01T06:20:00Z,GS-01,Geneva Prime,Europe,-70.1,95.56,78.22,164.35,30.75,62.48,105.35,29.14,Maintenance
2026-04-01T06:20:00Z,GS-06,Tanegashima,Asia Pacific,-62.78,94.74,79.97,95.59,56.57,77.68,57.7,26.47,Online
2026-04-01T06:25:00Z,GS-01,Geneva Prime,Europe,-61.32,101.41,78.21,149.17,95.0,55.57,102.76,31.1,Online
2026-04-01T06:25:00Z,GS-06,Tanegashima,Asia Pacific,-65.69,95.84,78.66,69.56,37.21,50.21,81.36,27.5,Online
2026-04-01T06:30:00Z,GS-01,Geneva Prime,Europe,-56.49,94.39,80.41,125.01,21.08,62.99,129.11,26.97,Online
2026-04-01T06:30:00Z,GS-06,Tanegashima,Asia Pacific,-34.91,98.34,78.33,98.33,51.7,60.61,101.55,27.4,Online
2026-04-01T06:35:00Z,GS-01,Geneva Prime,Europe,-57.46,95.92,79.43,72.88,36.17,69.89,123.65,29.83,Online
2026-04-01T06:35:00Z,GS-06,Tanegashima,Asia Pacific,-76.38,98.12,82.08,104.25,72.83,63.15,87.68,28.45,Online
2026-04-01T06:40:00Z,GS-01,Geneva Prime,Europe,-58.0,99.7,80.96,128.7,35.57,49.35,10.0,29.8,Degraded
2026-04-01T06:40:00Z,GS-06,Tanegashima,Asia Pacific,-76.55,95.69,80.32,174.79,44.93,66.71,83.27,28.89,Online
2026-04-01T06:45:00Z,GS-01,Geneva Prime,Europe,-46.21,100.67,79.96,109.65,36.98,67.94,73.0,28.04,Online
2026-04-01T06:45:00Z,GS-06,Tanegashima,Asia Pacific,-51.95,99.45,79.48,99.73,58.03,63.8,79.0,30.4,Online
2026-04-01T06:50:00Z,GS-01,Geneva Prime,Europe,-39.15,103.62,79.31,60.64,32.22,57.56,55.62,29.02,Online
2026-04-01T06:50:00Z,GS-06,Tanegashima,Asia Pacific,-59.15,103.56,79.15,114.6,45.77,44.2,42.43,29.08,Online
2026-04-01T06:55:00Z,GS-01,Geneva Prime,Europe,-78.15,104.95,82.2,136.56,42.44,71.93,85.95,28.92,Online
2026-04-01T06:55:00Z,GS-06,Tanegashima,Asia Pacific,-69.2,103.15,78.36,105.11,46.93,60.02,97.48,31.21,Online
2026-04-01T07:00:00Z,GS-01,Geneva Prime,Europe,-45.76,102.03,73.87,128.03,28.6,58.2,33.2,26.85,Online
2026-04-01T07:00:00Z,GS-06,Tanegashima,Asia Pacific,-51.88,106.52,77.82,22.27,38.45,63.13,20.84,29.83,Online
2026-04-01T07:05:00Z,GS-01,Geneva Prime,Europe,-60.23,107.41,79.04,70.81,59.36,58.73,78.91,28.28,Online
2026-04-01T07:05:00Z,GS-06,Tanegashima,Asia Pacific,-66.65,104.48,78.46,151.35,28.54,47.09,138.85,29.36,Online
2026-04-01T07:10:00Z,GS-01,Geneva Prime,Europe,-70.04,109.58,77.4,154.78,53.14,56.1,166.29,28.9,Online
2026-04-01T07:10:00Z,GS-06,Tanegashima,Asia Pacific,-48.87,108.1,81.21,146.85,45.38,53.97,98.4,28.79,Offline
2026-04-01T07:15:00Z,GS-01,Geneva Prime,Europe,-30.0,109.02,77.68,105.54,28.83,52.23,128.02,28.94,Online
2026-04-01T07:15:00Z,GS-06,Tanegashima,Asia Pacific,-75.7,109.82,80.78,121.57,56.95,53.95,23.13,32.18,Online
2026-04-01T07:20:00Z,GS-01,Geneva Prime,Europe,-64.84,109.5,80.85,116.69,50.47,77.32,54.26,31.44,Online
2026-04-01T07:20:00Z,GS-06,Tanegashima,Asia Pacific,-59.14,110.54,81.25,115.24,51.46,68.58,65.4,28.79,Degraded
2026-04-01T07:25:00Z,GS-01,Geneva Prime,Europe,-75.67,107.32,82.07,66.9,42.34,57.79,92.3,31.4,Online
2026-04-01T07:25:00Z,GS-06,Tanegashima,Asia Pacific,-47.09,110.08,77.63,108.48,42.02,72.86,99.64,31.28,Online
2026-04-01T07:30:00Z,GS-01,Geneva Prime,Europe,-50.06,114.85,78.08,61.1,71.01,54.79,58.86,31.18,Online
2026-04-01T07:30:00Z,GS-06,Tanegashima,Asia Pacific,-41.43,112.54,78.33,151.07,47.89,80.0,102.62,27.65,Online
2026-04-01T07:35:00Z,GS-01,Geneva Prime,Europe,-48.7,114.51,80.04,120.2,43.34,50.21,71.64,29.14,Online
2026-04-01T07:35:00Z,GS-06,Tanegashima,Asia Pacific,-68.71,114.93,80.8,111.84,30.65,63.56,127.87,29.5,Online
2026-04-01T07:40:00Z,GS-01,Geneva Prime,Europe,-62.01,115.03,75.62,119.45,43.55,63.36,44.5,29.88,Online
2026-04-01T07:40:00Z,GS-06,Tanegashima,Asia Pacific,-49.16,114.25,80.64,88.01,47.7,67.46,23.27,27.89,Online
2026-04-01T07:45:00Z,GS-01,Geneva Prime,Europe,-82.88,118.78,75.8,176.75,38.23,61.48,141.68,33.66,Online
2026-04-01T07:45:00Z,GS-06,Tanegashima,Asia Pacific,-30.0,118.67,78.95,117.78,54.34,55.59,47.27,30.65,Online
2026-04-01T07:50:00Z,GS-01,Geneva Prime,Europe,-62.55,116.59,78.0,128.66,46.06,71.82,34.33,30.48,Online
2026-04-01T07:50:00Z,GS-06,Tanegashima,Asia Pacific,-70.75,113.77,76.44,96.35,63.16,65.05,39.03,33.55,Online
2026-04-01T07:55:00Z,GS-01,Geneva Prime,Europe,-41.68,119.91,75.85,71.22,40.53,68.71,155.38,33.2,Online
2026-04-01T07:55:00Z,GS-06,Tanegashima,Asia Pacific,-67.33,116.51,76.58,46.95,48.88,58.82,61.36,28.49,Online
2026-04-01T08:00:00Z,GS-01,Geneva Prime,Europe,-52.3,118.93,73.64,13.83,44.67,74.18,146.45,30.31,Online
2026-04-01T08:00:00Z,GS-06,Tanegashima,Asia Pacific,-69.03,120.94,73.98,109.05,54.19,69.82,75.99,30.69,Online
2026-04-01T08:05:00Z,GS-01,Geneva Prime,Europe,-73.17,119.6,75.19,111.02,55.96,53.57,139.71,30.71,Online
2026-04-01T08:05:00Z,GS-06,Tanegashima,Asia Pacific,-60.32,119.76,70.8,126.52,53.84,57.75,82.68,31.89,Online
2026-04-01T08:10:00Z,GS-01,Geneva Prime,Europe,-83.44,121.44,76.89,62.37,48.52,49.15,98.66,31.17,Online
2026-04-01T08:10:00Z,GS-06,Tanegashima,Asia Pacific,-84.23,124.83,73.83,75.69,47.41,69.19,39.37,31.32,Online
